id,source,event_id,date,directness_index,verb_strength_max,verb_strength_mean,verb_density,mutuality_index,hedging_density,subject_first_person,subject_all_parties,subject_national,text_len,n_words,n_strength_verbs
CN-ukr11-1,CN,ukr11,2024-02-19,0.899,6,2.4,3.3467202141900936,7.03,0.67,0.162,0.005,0.176,19142,2988,10
CN-ukr11-2,CN,ukr11,2024-02-20,0.941,7,5.5,1.5267175572519083,16.03,1.53,0.089,0.059,0.149,8495,1310,2
FR-ukr11-1,FR,ukr11,2024-02-19,0.667,7,5.5,15.503875968992247,0.0,0.0,0.0,0.0,0.667,834,129,2
FR-ukr11-2,FR,ukr11,2024-02-13,0.654,1,1.0,3.3222591362126246,3.32,3.32,0.136,0.0,0.182,1856,301,1
FR-ukr11-3,FR,ukr11,2024-03-07,0.75,6,6.0,4.385964912280701,4.39,0.0,0.0,0.0,0.333,1492,228,1
FR-ukr11-4,FR,ukr11,2024-02-12,1.0,6,6.0,3.1446540880503147,3.14,0.0,0.167,0.0,0.167,2164,318,1
KR-ukr12-1,KR,ukr12,2025-03-17,0.857,0,0.0,0.0,4.35,0.0,0.0,0.0,0.154,1517,230,0
CN-ukr12-2,CN,ukr12,2025-02-10,0.913,7,5.33,1.0676156583629894,12.81,2.14,0.143,0.011,0.154,18191,2810,3
FR-ukr12-1,FR,ukr12,2025-03-31,0.922,0,0.0,0.0,1.12,0.0,0.408,0.0,0.204,5665,891,0
FR-ukr12-2,FR,ukr12,2025-02-24,0.429,6,6.0,13.513513513513514,0.0,0.0,0.0,0.0,0.4,504,74,1
