id,source,event_id,date,directness_index,verb_strength_max,verb_strength_mean,verb_density,mutuality_index,hedging_density,subject_first_person,subject_all_parties,subject_national,n_words
KR-gaza10-1,KR,gaza10,2025-08-10,1.0,5,4.5,18.69158878504673,28.04,9.35,0.0,0.0,0.75,107
KR-gaza10-2,KR,gaza10,2025-08-11,1.0,5,4.5,19.230769230769234,28.85,9.62,0.0,0.0,0.75,104
CN-gaza10-1,CN,gaza10,2025-07-16,0.804,6,4.25,4.040404040404041,14.65,4.55,0.063,0.008,0.189,1980
CN-gaza10-2,CN,gaza10,2025-07-17,0.882,5,5.0,2.403846153846154,21.63,3.61,0.119,0.0,0.254,832
CN-gaza10-3,CN,gaza10,2025-07-21,0.9,6,4.86,3.2710280373831777,10.75,4.67,0.153,0.005,0.185,2140
CN-gaza10-4,CN,gaza10,2025-07-25,0.902,7,4.22,6.3875088715401,25.55,4.97,0.102,0.083,0.213,1409
CN-gaza10-5,CN,gaza10,2025-07-30,0.873,6,4.2,4.436557231588288,18.19,2.66,0.101,0.0,0.237,2254
FR-gaza10-1,FR,gaza10,2025-07-11,0.692,0,0.0,0.0,6.21,6.21,0.0,0.0,0.273,161
FR-gaza10-2,FR,gaza10,2025-07-14,0.438,0,0.0,0.0,0.0,0.0,0.0,0.0,0.182,215
FR-gaza10-3,FR,gaza10,2025-07-21,0.867,6,5.75,8.620689655172413,4.31,4.31,0.286,0.0,0.036,464
FR-gaza10-4,FR,gaza10,2025-07-23,1.0,6,5.67,12.76595744680851,0.0,0.0,0.067,0.0,0.333,235
FR-gaza10-5,FR,gaza10,2025-08-12,0.296,0,0.0,0.0,0.0,7.14,0.176,0.0,0.0,280
FR-gaza10-6,FR,gaza10,2025-08-16,1.0,6,6.0,8.264462809917356,8.26,8.26,0.0,0.0,0.333,121
